match,week,team,opponent,Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:16:50,1,0,0,0,0,2,5,2,2,0,1,1,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:24:09,2,0,1,1,0,1,13,1,1,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:32:50,3,0,2,1,1,1,12,0,0,0,0,0,55 Trystan Grzyll,26 Morgan Lally,18 Naomi Anderson
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:36:59,4,1,2,0,0,3,14,3,2,1,1,2,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:44:10,5,1,3,1,1,3,12,2,1,1,1,1,29 Charlotte Doran,19 Elle Mayer,45 Jennifer Lin
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:00:40,7,3,3,1,1,3,25,2,2,0,0,2,13 Hannah Abraham,08 Dani Ortiz,13 Hannah Abraham
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:10:02,8,4,3,0,0,2,6,2,2,0,1,1,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:19:17,9,4,4,1,1,1,22,0,0,0,0,0,29 Charlotte Doran,08 Dani Ortiz,03 Alex Krueger
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:23:33,10,5,4,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:25:56,11,5,5,1,0,1,8,1,1,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:32:39,12,5,6,1,0,2,7,1,1,0,0,1,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:36:34,13,6,6,0,1,3,15,2,2,0,3,0,NA,31 María Vargas,12 Emma Jaschke
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:50:03,14,7,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:56:56,15,7,7,1,0,2,14,2,2,0,0,1,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:09:10,16,7,8,1,0,1,3,1,1,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:10:54,17,7,9,1,0,1,7,1,1,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:15:54,18,7,10,1,1,1,10,0,0,0,0,0,08 Dani Ortiz,20 Soju Hokari,75 Sarah Kingsley-Hart
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:19:14,19,8,10,0,1,1,8,0,0,0,1,0,72 Annalise Paul,10 Mia Griner,18 Naomi Anderson
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:21:38,20,9,10,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:22:46,21,9,11,1,0,1,10,1,1,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:26:31,22,9,12,1,1,1,7,0,0,0,0,0,12 Emma Jaschke,31 María Vargas,10 Mia Griner
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:30:38,23,10,12,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:31:30,24,10,13,1,1,1,12,0,0,0,0,0,29 Charlotte Doran,05 Megan Jarriel,75 Sarah Kingsley-Hart
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:33:18,25,11,13,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:34:50,26,11,14,1,0,2,41,2,2,0,0,1,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:43:28,27,11,15,1,0,2,10,2,1,1,1,1,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-08 23:47:15,1,0,0,1,1,3,23,2,2,0,1,1,00 Maggie Rowell,02 Elise Bjork,69 Jaime Estes
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 18:17:06,2,1,0,0,1,1,21,0,0,0,0,1,95 Megan Mendieta,05 Dre Esparza,19 Vanessa Bacorn
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 18:44:44,3,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 18:47:47,4,2,1,1,1,4,18,3,3,0,0,3,02 Elise Bjork,00 Maggie Rowell,69 Jaime Estes
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:03:20,5,3,1,0,0,2,7,2,1,1,0,2,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:11:35,6,3,2,1,0,1,18,1,1,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:57:55,7,3,3,0,0,2,10,2,1,1,1,1,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:07:57,8,3,4,1,1,3,22,2,2,0,1,1,03 Madi Cannon,26 Amy Broome,31 Nikki Gilbert
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:24:27,9,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:26:22,10,4,5,1,1,1,25,0,0,0,0,0,42 Meg Duffy,73 Clara Stewart,22 Sydney Loughran
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:36:55,11,5,5,0,1,1,14,0,0,0,1,0,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 20:55:30,12,6,5,0,0,1,9,1,1,0,0,1,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:07:53,13,6,6,1,0,3,11,3,3,0,2,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:32:26,14,6,7,1,1,1,11,0,0,0,0,0,73 Clara Stewart,88 Maddy Easton,03 Madi Cannon
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:42:26,15,7,7,0,1,2,24,1,1,0,2,0,88 Maddy Easton,31 Nikki Gilbert,88 Maddy Easton
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:54:28,16,8,7,0,1,1,8,0,0,0,1,0,02 Elise Bjork,42 Meg Duffy,22 Sydney Loughran
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 21:57:51,17,9,7,0,1,1,39,0,0,0,0,1,31 Nikki Gilbert,03 Madi Cannon,31 Nikki Gilbert
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:10:32,18,10,7,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:14:00,19,10,8,1,0,1,2,1,1,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:15:59,20,10,9,1,1,1,5,0,0,0,0,0,88 Maddy Easton,73 Clara Stewart,03 Madi Cannon
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:18:14,21,11,9,0,1,1,8,0,0,0,0,1,12 Annie Ortiz,95 Megan Mendieta,16 Kinsey Neas
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:22:40,22,12,9,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:24:04,23,12,10,1,1,1,4,0,0,0,0,0,88 Maddy Easton,69 Jaime Estes,71 Wren Vogel
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:30:12,24,13,10,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:31:01,25,13,11,1,1,1,2,0,0,0,0,0,42 Meg Duffy,69 Jaime Estes,22 Sydney Loughran
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:32:24,26,14,11,0,1,2,5,1,1,0,2,0,NA,02 Elise Bjork,42 Meg Duffy
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 22:38:04,27,15,11,0,0,2,10,2,2,0,1,1,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 17:36,1,0,0,1,1,1,11,0,0,0,0,0,37 Claire Trop,36 Carolyn Normile,19 Allie Wallace
DC @ RAL,Week 1,DC,RAL,4/6/24 17:42,2,1,0,0,1,1,2,0,0,0,1,0,09 Annalise Peters,46 Graham Cunningham,07 Kami Groom
DC @ RAL,Week 1,DC,RAL,4/6/24 17:49,3,2,0,0,1,2,10,1,1,0,0,2,07 Kami Groom,01 Ashleigh Jentilet,22 Erin McCann
DC @ RAL,Week 1,DC,RAL,4/6/24 17:57,4,3,0,0,1,1,8,0,0,0,1,0,07 Kami Groom,01 Ashleigh Jentilet,07 Kami Groom
DC @ RAL,Week 1,DC,RAL,4/6/24 18:01,5,4,0,0,0,4,6,4,4,0,1,3,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:27,6,4,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
DC @ RAL,Week 1,DC,RAL,4/6/24 18:29,7,4,2,1,1,4,29,3,3,0,1,2,12 Clare Frantz,13 Sami Smalling,12 Clare Frantz
DC @ RAL,Week 1,DC,RAL,4/6/24 18:40,8,5,2,0,1,3,10,3,3,1,2,2,NA,NA,NA
