week,match,team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
Week 1,ATX @ ATL,ATL,57 Ximena Montana,29,26,27,1,3,3,35.937900000000006,1.63006,317.52256000000006,11.7605,5,10,2,3,0,0,0
Week 1,ATX @ ATL,ATL,11 Quincy Booth,27,24,19,2,2,1,233.93002000000004,10.1742,64.46942,3.3914000000000004,6,5,8,1,0,3,1
Week 1,ATX @ ATL,ATL,29 Soju Hokari,26,26,17,1,0,1,209.47912,8.05184,53.277800000000006,3.1288400000000003,5,5,9,0,1,2,0
Week 1,ATX @ ATL,ATL,04 Chloe Greene,19,19,14,1,0,2,172.57850000000002,10.78684,-24.68064,-1.7613400000000003,3,6,5,1,1,1,1
Week 1,ATX @ ATL,ATL,14 Charlotte Doran,20,19,16,1,1,6,87.58564000000001,6.257680000000001,12.001180000000002,0.75486,2,7,4,5,1,0,0
Week 1,ATX @ ATL,ATL,26 Morgan Lally,6,4,6,2,2,1,13.11706,4.376,85.73678000000001,14.287640000000001,2,6,0,1,0,1,0
Week 1,ATX @ ATL,ATL,05 Megan Jarriel,11,10,10,1,1,0,-2.8881600000000005,-0.28444,129.67182000000003,12.9639,5,3,1,0,0,0,0
Week 1,ATX @ ATL,ATL,32 Therese Doebler,8,8,8,0,0,1,-28.750320000000002,-4.791720000000001,52.09628,6.5093000000000005,4,3,0,1,0,0,0
Week 1,ATX @ ATL,ATL,09 Liv Ford,19,18,15,1,1,6,71.20846,5.48094,44.53674,2.9647400000000004,4,3,4,4,2,0,2
Week 1,ATX @ ATL,ATL,17 Christina Marsicano,8,8,7,0,0,2,8.445680000000001,1.6847600000000003,-9.561560000000002,-1.3675000000000002,3,3,1,2,0,0,0
Week 1,ATX @ ATL,ATL,01 Charlie Hawkins,14,14,10,0,0,2,98.91948000000001,7.614240000000001,-38.607260000000004,-3.8618200000000003,3,3,4,1,1,0,0
Week 1,ATX @ ATL,ATL,33 Georgia Tse,7,7,7,0,0,2,27.568800000000003,4.5948,80.84660000000001,11.552640000000002,4,2,0,1,1,1,2
Week 1,ATX @ ATL,ATL,44 Jordan Harn,3,3,3,2,0,1,29.045700000000004,14.52832,7.85492,2.61466,0,5,0,1,0,0,0
Week 1,ATX @ ATL,ATL,06 Lylah Bannister,9,9,9,0,0,0,8.598840000000001,0.9517800000000001,81.8859,9.10208,3,1,0,0,0,0,1
Week 1,ATX @ ATL,ATL,75 Sarah Kingsley-Hart,4,4,3,2,0,0,48.4642,12.11058,26.967100000000002,8.992680000000002,3,2,1,0,0,1,0
Week 1,ATX @ ATL,ATL,25 Katie Sanders,13,13,12,1,0,2,107.06978000000001,9.736600000000001,-37.349160000000005,-3.10696,3,0,1,2,0,1,0
Week 1,ATX @ ATL,ATL,51 Lilli Popovich,1,0,1,0,1,1,0,0,44.67896000000001,44.67896000000001,1,3,0,0,1,0,0
Week 1,ATX @ ATL,ATL,12 Emma Jaschke,3,3,2,2,0,0,11.858960000000002,3.9493400000000003,23.116220000000002,11.563580000000002,1,3,1,0,0,0,1
Week 1,ATX @ ATL,ATL,19 Elle Mayer,3,3,2,1,0,2,-13.25928,-6.62964,19.779519999999998,9.889759999999999,2,0,1,1,1,0,0
Week 1,ATX @ ATL,ATL,10 Mia Griner,4,4,3,1,0,0,-6.0717,-1.52066,41.943960000000004,13.98132,2,1,1,0,0,0,0
Week 1,ATX @ ATL,ATL,22 Anna Gustafson,1,1,1,2,0,0,-12.15434,-12.15434,25.938740000000003,25.938740000000003,0,2,0,0,0,0,0
Week 1,ATX @ ATL,ATL,07 Allison Murphy,2,2,2,0,0,0,3.7086600000000005,1.8488600000000002,28.903480000000005,14.451740000000003,1,1,0,0,0,0,0
Week 1,ATX @ ATL,ATL,08 Dani Ortiz,3,3,2,0,0,1,27.043680000000002,13.521840000000001,8.89422,4.44164,1,1,1,1,0,1,0
Week 1,ATX @ ATL,ATX,09 Summer Wilson,42,41,36,0,1,6,101.62166,2.8991000000000002,63.156620000000004,1.7504000000000002,8,3,6,6,0,0,1
Week 1,ATX @ ATL,ATX,73 Clara Stewart,57,57,46,1,1,4,169.07770000000002,3.19448,-130.22976000000003,-2.83346,9,2,11,4,0,0,0
Week 1,ATX @ ATL,ATX,00 Margaret Rowell,9,7,9,1,2,0,-6.935960000000001,-0.9955400000000001,129.24516,14.364220000000001,3,6,0,0,0,0,0
Week 1,ATX @ ATL,ATX,16 Kinsey Neas,4,3,4,0,1,1,27.743840000000002,13.871920000000001,85.25542000000002,21.311120000000003,3,4,0,1,0,0,1
Week 1,ATX @ ATL,ATX,34 Carley Garrett,19,19,18,0,0,3,5.39342,0.33914,122.00288,6.782800000000001,6,2,1,3,0,0,1
Week 1,ATX @ ATL,ATX,04 Mary Clare Robbins,20,20,19,1,0,3,126.60862000000002,7.45014,1.82698,0.09846,3,4,1,2,1,1,0
Week 1,ATX @ ATL,ATX,14 Emma Berrigan,5,5,5,0,0,3,0.39384,0.13128,67.29194,13.456200000000003,3,4,0,2,1,0,0
Week 1,ATX @ ATL,ATX,07 Shiru Liu,14,14,7,1,0,2,154.9651,12.909200000000002,-33.30136,-4.7589,2,4,7,2,0,2,1
Week 1,ATX @ ATL,ATX,88 Madelyn Easton,4,4,4,0,0,1,3.3804600000000002,1.1268200000000002,53.354380000000006,13.33586,3,3,0,1,0,0,0
Week 1,ATX @ ATL,ATX,31 Nikki Gilbert,5,5,4,0,0,0,34.86578,6.968780000000001,15.512920000000001,3.8837,6,0,1,0,0,0,0
Week 1,ATX @ ATL,ATX,69 Jaime Estes,6,6,6,1,0,1,-40.302960000000006,-6.71716,59.240100000000005,9.86788,6,0,0,0,1,0,0
Week 1,ATX @ ATL,ATX,12 Annie Ortiz,16,16,14,1,0,1,-27.054620000000003,-1.8051000000000001,-7.712700000000001,-0.547,3,3,2,1,0,0,0
Week 1,ATX @ ATL,ATX,42 Megan Duffy,6,6,4,0,0,1,21.63932,4.3322400000000005,15.294120000000001,3.829,1,4,2,1,0,0,0
Week 1,ATX @ ATL,ATX,10 Gabriella Cuina,22,21,22,1,1,0,41.9002,1.9910800000000002,95.06860000000002,4.321300000000001,2,4,0,0,0,0,0
Week 1,ATX @ ATL,ATX,82 Sarah Downing,4,4,4,0,0,1,5.5794,1.8598000000000001,53.10276,13.270220000000002,1,4,0,1,0,0,0
Week 1,ATX @ ATL,ATX,05 Elise Franke,7,6,7,0,1,0,14.06884,2.3411600000000004,86.2072,12.31844,3,3,0,0,0,1,0
Week 1,ATX @ ATL,ATX,26 Amy Broome,30,29,25,0,1,5,110.96442000000002,4.627620000000001,-32.25112,-1.29092,6,0,5,5,0,0,0
Week 1,ATX @ ATL,ATX,33 Brenda Orellana,1,1,1,0,0,0,22.25196,22.25196,5.39342,5.39342,1,3,0,0,0,0,0
Week 1,PHL @ INDY,INDY,11 Tracey Lo,65,65,51,0,0,9,340.72630000000004,6.432720000000001,-8.67542,-0.17504000000000003,13,3,14,9,0,3,2
Week 1,PHL @ INDY,INDY,77 Katrina McGuire,27,24,24,0,3,2,53.91232000000001,2.4505600000000003,114.35582000000001,4.76984,8,8,3,2,0,1,1
Week 1,PHL @ INDY,INDY,18 Laura Grencser,54,53,44,2,1,4,198.76886000000002,4.05874,65.57436,1.4878400000000003,12,3,10,4,0,5,4
Week 1,PHL @ INDY,INDY,27 Eliza Hutchins,12,10,12,0,2,1,28.07204,2.81158,165.55502,13.795340000000001,11,3,0,0,1,0,0
Week 1,PHL @ INDY,INDY,04 Rachel Mast,25,24,25,0,1,2,53.441900000000004,2.54902,143.17178,5.721620000000001,11,3,0,2,0,1,2
Week 1,PHL @ INDY,INDY,32 Shani Rosenthal,11,11,10,1,0,2,24.15552,2.4177400000000002,94.94826000000002,9.49592,11,1,1,1,1,0,1
Week 1,PHL @ INDY,INDY,19 Melissa Gibbs,4,3,4,1,1,0,-10.261720000000002,-3.42422,44.39452,11.1041,2,6,0,0,0,0,0
Week 1,PHL @ INDY,INDY,09 Corinn Rains,6,6,4,2,0,1,13.6203,2.7240600000000006,40.01852,9.999160000000002,4,4,2,1,0,0,0
Week 1,PHL @ INDY,INDY,40 Claire Milton,3,3,3,0,0,1,31.24464,15.62232,25.468320000000002,8.48944,1,6,0,1,0,0,0
Week 1,PHL @ INDY,INDY,82 Riley Dickson,0,0,0,1,0,1,0,0,0,0,5,2,0,0,1,0,0
Week 1,PHL @ INDY,INDY,17 Kristin Dudley,10,10,8,0,0,1,25.468320000000002,2.83346,6.71716,0.8423800000000001,5,1,2,1,0,0,0
Week 1,PHL @ INDY,INDY,15 Sydney Loughran,5,4,5,1,1,0,19.49508,4.8683000000000005,75.08122,15.020620000000001,4,2,0,0,0,0,0
Week 1,PHL @ INDY,INDY,33 Jalyn Baumgartner,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Week 1,PHL @ INDY,INDY,10 Lexie Thomas,1,1,0,0,0,0,4.84642,4.84642,0,0,1,4,1,0,0,0,0
Week 1,PHL @ INDY,INDY,06 Risa Umeno,4,4,2,0,0,1,2.14424,0.7111000000000001,-18.751160000000002,-9.375580000000001,0,5,2,1,0,0,0
Week 1,PHL @ INDY,INDY,16 Riely Kuznicki,3,3,3,0,0,0,-26.398220000000002,-8.79576,31.24464,10.41488,0,5,0,0,0,0,0
Week 1,PHL @ INDY,INDY,07 Annie Melink,6,6,4,0,0,1,35.25962,7.056300000000001,-31.157120000000003,-7.789280000000001,0,5,2,1,0,0,0
Week 1,PHL @ INDY,INDY,23 Lili Hobday,3,2,2,0,0,0,-5.0324,-2.5162,0.18598000000000003,0.09846,0,4,1,0,0,0,0
Week 1,PHL @ INDY,INDY,66 Rachel Graber,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Week 1,PHL @ INDY,INDY,05 Lizzie Tilden,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Week 1,PHL @ INDY,INDY,91 Samantha Phillips,2,1,2,0,1,1,-8.8614,-8.8614,34.7892,17.3946,2,1,0,0,1,0,0
Week 1,PHL @ INDY,INDY,29 Emily Hess,1,1,1,0,0,0,8.57696,8.57696,6.246740000000001,6.246740000000001,1,0,0,0,0,0,0
Week 1,PHL @ INDY,PHL,09 Sarah Hirannet,9,9,9,1,0,0,10.874360000000001,1.2034000000000002,67.01844,7.45014,8,7,0,0,0,2,0
Week 1,PHL @ INDY,PHL,29 Sara Liang,43,41,30,0,2,3,58.00388000000001,1.4878400000000003,14.462680000000002,0.48136000000000007,9,6,13,2,1,2,1
Week 1,PHL @ INDY,PHL,27 Kit Asterin,39,38,27,0,0,7,137.00162,4.41976,-3.9931,-0.15316000000000002,5,8,12,6,1,1,1
Week 1,PHL @ INDY,PHL,19 Grace Maroon,20,17,20,1,3,1,41.05782000000001,2.5709000000000004,110.78938000000001,5.53564,6,7,0,0,1,1,1
Week 1,PHL @ INDY,PHL,00 Emilie Mohler,30,29,27,2,0,3,196.5918,7.286040000000001,-62.084500000000006,-2.2974,7,5,3,2,1,0,1
Week 1,PHL @ INDY,PHL,99 Veronica Kolegue-Spalaris,9,9,9,2,0,0,5.316840000000001,0.5907600000000001,46.13398000000001,5.130860000000001,5,6,0,0,0,1,1
Week 1,PHL @ INDY,PHL,66 Jess Brand,2,1,2,0,1,0,-4.540100000000001,-4.540100000000001,67.24818,33.62956,5,5,0,0,0,0,1
Week 1,PHL @ INDY,PHL,73 Chelsea Semper,7,6,7,0,1,2,-8.67542,-4.34318,53.091820000000006,7.5814200000000005,4,6,0,2,0,0,0
Week 1,PHL @ INDY,PHL,21 Linda Morse,11,9,11,0,2,1,34.9533,3.8837,104.08316,9.4631,4,6,0,0,1,0,1
Week 1,PHL @ INDY,PHL,17 Allie Milligan,17,17,14,0,0,0,7.111000000000001,0.41572000000000003,-7.275100000000001,-0.51418,6,3,3,0,0,1,0
Week 1,PHL @ INDY,PHL,15 Layne Dodge,4,4,4,1,0,1,9.76942,3.26012,58.102340000000005,14.52832,3,4,0,1,0,0,0
Week 1,PHL @ INDY,PHL,23 Natalie Bova,19,19,18,2,0,4,92.66180000000001,6.6187000000000005,59.8965,3.3257600000000003,3,4,1,4,0,3,1
Week 1,PHL @ INDY,PHL,03 Rachel Alfano,3,3,3,0,0,1,-9.61626,-4.813600000000001,27.99546,9.33182,3,4,0,0,1,0,1
Week 1,PHL @ INDY,PHL,33 Jana Graham,0,0,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0
Week 1,PHL @ INDY,PHL,22 Liz Hart,5,3,4,4,2,1,3.59926,1.2034000000000002,43.55214000000001,10.8853,2,4,1,0,1,0,0
Week 1,PHL @ INDY,PHL,10 Neena Kashyap,1,1,1,1,0,0,8.445680000000001,8.445680000000001,42.30498000000001,42.30498000000001,3,3,0,0,0,0,0
Week 1,PHL @ INDY,PHL,08 Joanna Maida,13,13,8,0,0,0,45.82766,3.8180600000000005,-21.978460000000002,-2.74594,1,5,5,0,0,0,0
Week 1,PHL @ INDY,PHL,48 Caroline Weinberg,2,2,2,0,0,2,-5.16368,-5.16368,23.849200000000003,11.924600000000002,2,3,0,1,1,0,0
Week 1,RAL @ LA,LA,03 Chip Yen,9,8,9,4,1,0,22.711440000000003,2.8444000000000003,67.42322000000001,7.4939,8,3,0,0,0,0,0
Week 1,RAL @ LA,LA,50 Lilet Brooks,10,9,9,1,1,5,-2.81158,-0.40478000000000003,196.74496000000002,21.858120000000003,8,3,1,2,3,0,0
Week 1,RAL @ LA,LA,01 Maggie O'Connor,43,42,31,1,1,5,276.09278,7.66894,40.270140000000005,1.30186,8,3,12,5,0,2,2
Week 1,RAL @ LA,LA,00 Stephanie Pritchard,7,7,7,0,0,0,4.51822,0.64546,106.18364000000001,15.17378,8,2,0,0,0,0,0
Week 1,RAL @ LA,LA,11 Emily Ash,4,3,4,0,1,0,-1.9254400000000003,-0.64546,25.041660000000004,6.257680000000001,8,2,0,0,0,0,0
Week 1,RAL @ LA,LA,25 Samantha Wool,40,40,34,1,0,4,168.43224000000004,4.813600000000001,48.31104,1.4222000000000001,8,2,6,4,0,3,1
Week 1,RAL @ LA,LA,44 Nadine Meister,25,25,21,0,0,2,170.31392000000002,7.40638,14.62678,0.7001600000000001,5,4,4,2,0,1,2
Week 1,RAL @ LA,LA,93 Naomi Guzman,17,16,7,0,1,3,113.89634000000001,9.49592,37.56796000000001,5.37154,3,4,10,3,0,1,0
Week 1,RAL @ LA,LA,24 Avalon Igawa,8,6,7,2,2,0,39.4934,6.58588,56.24254,8.02996,3,4,1,0,0,1,0
Week 1,RAL @ LA,LA,26 Cameron Helm,11,10,11,0,1,3,38.08214,5.437180000000001,73.95439999999999,6.728100000000001,3,4,0,2,1,0,0
Week 1,RAL @ LA,LA,20 Madee Shade,10,9,10,0,1,2,19.48414,2.77876,46.24338000000001,4.627620000000001,5,2,0,2,0,0,0
Week 1,RAL @ LA,LA,02 Iman Haq,7,7,7,0,0,1,11.78238,2.3521,24.60406,3.51174,2,3,0,1,0,0,0
Week 1,RAL @ LA,LA,29 Hanae Oda,5,5,5,0,0,0,20.50156,4.1025,26.49668,5.2949600000000006,0,4,0,0,0,0,0
Week 1,RAL @ LA,LA,41 Natalie So,9,9,7,0,0,2,28.15956,4.02592,10.74308,1.5316,1,4,2,2,0,0,0
Week 1,RAL @ LA,LA,05 Sharon Tseng,5,5,4,1,0,1,-22.011280000000003,-5.502820000000001,54.02172000000001,13.499960000000002,1,4,1,1,0,0,0
Week 1,RAL @ LA,LA,16 Karli Steiner,18,18,10,1,0,7,78.10066,6.5093000000000005,3.92746,0.39384,1,4,8,6,1,0,0
Week 1,RAL @ LA,LA,07 Jessica Martinez,4,3,3,1,0,0,1.33468,0.66734,66.47144,22.1535,1,4,1,0,0,0,1
Week 1,RAL @ LA,LA,34 Amanda Ring,6,6,4,2,0,2,11.7058,2.3411600000000004,64.90702,16.224020000000003,2,3,2,1,1,0,1
Week 1,RAL @ LA,LA,15 Violet Wei,2,2,2,0,0,1,22.678620000000002,22.678620000000002,21.343940000000003,10.666500000000001,1,2,0,1,0,1,0
Week 1,RAL @ LA,LA,40 Veronica Yee,2,2,2,0,0,1,12.296560000000001,6.148280000000001,18.8168,9.4084,0,4,0,0,1,0,0
Week 1,RAL @ LA,LA,89 Lexy Roy,1,1,1,0,0,0,7.559540000000001,7.559540000000001,16.45376,16.45376,1,1,0,0,0,0,1
Week 1,RAL @ LA,LA,23 Frances Lebar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Week 1,RAL @ LA,LA,17 Rachel Johnston,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Week 1,RAL @ LA,RAL,88 Maddie Pletzke,11,9,10,0,2,4,18.91526,2.3630400000000003,115.0888,11.50888,11,5,1,1,3,1,1
Week 1,RAL @ LA,RAL,02 Claire Bidigare-Curtis,14,13,14,2,1,1,44.066320000000005,3.67584,33.41076,2.38492,11,5,0,0,1,0,1
Week 1,RAL @ LA,RAL,15 Carmen Tormey,8,7,7,0,1,1,60.50914000000001,12.09964,82.35632000000001,11.7605,11,5,1,0,1,2,1
Week 1,RAL @ LA,RAL,21 Julia Hoffmann,6,4,6,2,2,1,71.31786,23.772620000000003,80.33242000000001,13.39056,11,4,0,1,0,1,0
Week 1,RAL @ LA,RAL,06 Jenny Wei,22,20,19,2,2,3,114.25736,6.71716,121.91536,6.421780000000001,11,4,3,2,1,3,1
Week 1,RAL @ LA,RAL,59 Audrey Lyman,48,48,24,0,0,7,228.82104,5.863840000000001,21.245480000000004,0.8861400000000001,11,4,24,7,0,2,1
Week 1,RAL @ LA,RAL,45 Caitlin Gross,21,21,21,0,0,3,101.34816000000001,5.962300000000001,149.32006,7.111000000000001,10,3,0,3,0,0,3
Week 1,RAL @ LA,RAL,22 Julia Zwierzynski,5,5,5,0,0,2,21.84718,7.286040000000001,50.82724,10.16326,2,8,0,1,1,0,0
Week 1,RAL @ LA,RAL,43 Claire Hackl,5,4,2,1,1,2,25.22764,8.41286,14.03602,7.02348,1,8,3,1,1,0,0
Week 1,RAL @ LA,RAL,09 Jinny Riedel,23,23,10,1,0,7,206.22994,13.75158,3.58832,0.36102000000000006,1,7,13,7,0,2,0
Week 1,RAL @ LA,RAL,24 Hannah Boettcher,7,7,7,1,0,2,0.15316000000000002,0.021880000000000004,84.16142,12.023060000000001,1,7,0,1,1,1,0
Week 1,RAL @ LA,RAL,48 Natalie Baumgarten,9,7,7,2,2,2,71.02248,14.200120000000002,132.80066000000002,18.96996,1,7,2,1,1,0,1
Week 1,RAL @ LA,RAL,18 Sarah McKee,8,8,6,0,0,2,26.8577,4.4744600000000005,42.79728,7.13288,2,4,2,1,1,0,1
Week 1,RAL @ LA,RAL,19 Sydney Kelley,1,1,1,0,0,0,3.15072,3.15072,20.042080000000002,20.042080000000002,0,6,0,0,0,0,0
Week 2,LA @ NASH,LA,24 Avalon Igawa,10,10,10,0,0,1,8.89422,1.1158800000000002,59.130700000000004,5.918540000000001,4,7,0,1,0,0,0
Week 2,LA @ NASH,LA,01 Maggie O'Connor,15,15,10,0,0,2,180.58658,13.8938,3.8508800000000005,0.3829,7,2,5,1,1,2,0
Week 2,LA @ NASH,LA,16 Karli Steiner,11,11,9,2,0,1,150.79696,15.07532,52.76362,5.863840000000001,2,5,2,1,0,4,1
Week 2,LA @ NASH,LA,11 Emily Ash,4,4,4,0,0,0,20.6766,5.16368,61.95322000000001,15.491040000000002,7,2,0,0,0,2,0
Week 2,LA @ NASH,LA,00 Stephanie Pritchard,6,5,6,1,1,1,27.33906,6.8375,87.66222,14.6049,7,2,0,1,0,0,0
Week 2,LA @ NASH,LA,25 Samantha Wool,16,16,10,0,0,4,136.26864,9.736600000000001,40.160740000000004,4.01498,7,2,6,2,2,1,3
Week 2,LA @ NASH,LA,03 Chip Yen,10,6,10,0,4,0,34.75638,5.787260000000001,146.79292,14.68148,7,2,0,0,0,0,1
