team,goals,break_goals,defensive_blocks,holds,clean_holds,pass_attempts,turnovers,completed_passess,completion_rate,hucks
ATL,35,7,44,28,16,702,88,614,0.8746438746438746,26
ATX,22,6,16,16,5,589,69,520,0.8828522920203735,10
DC,40,18,23,22,9,600,48,552,0.92,10
INDY,25,6,22,19,8,402,61,341,0.8482587064676617,18
LA,23,10,26,13,7,411,63,348,0.8467153284671532,12
MINN,12,1,6,11,11,179,23,156,0.8715083798882681,0
NASH,9,3,28,6,3,495,76,419,0.8464646464646465,7
NY,30,7,14,23,13,589,44,545,0.9252971137521222,5
PHL,23,8,19,15,6,432,50,382,0.8842592592592593,5
RAL,51,12,34,39,25,688,78,610,0.8866279069767442,25
